"county","precinct","TRUMP","CLINTON","JOHNSON","voters_16","ballots_16","turnout_16","HANDEL","OSSOFF","voters_17","ballots_17","turnout_17","winner2016","winner2017","D2016","D2017","diff"
"Fulton","RW20",1039,869,92,2224,2068,92.99,917,677,2349,1594,67.86,"Trump","Handel",54.45,57.53,3.08
"Fulton","RW21",1327,819,112,2833,2336,82.46,1233,637,3002,1870,62.29,"Trump","Handel",61.84,65.94,4.09999999999999
"Fulton","RW22A",940,1401,143,3384,2539,75.03,671,925,3826,1596,41.71,"Clinton","Ossoff",40.15,42.04,1.89
"Fulton","SS01",1278,852,90,2698,2276,84.36,1202,735,2809,1938,68.99,"Trump","Handel",60,62.05,2.05
"Fulton","SS02A",316,414,43,1017,801,78.76,262,347,1087,609,56.03,"Clinton","Ossoff",43.29,43.02,-0.269999999999996
"Fulton","SS02B",197,539,43,1049,797,75.98,141,400,1148,541,47.13,"Clinton","Ossoff",26.77,26.06,-0.710000000000001
"Fulton","SS03",430,492,61,1194,1015,85.01,370,408,1279,780,60.99,"Clinton","Ossoff",46.64,47.56,0.920000000000002
"Fulton","SS04",675,1225,113,2703,2071,76.62,541,906,2968,1450,48.85,"Clinton","Ossoff",35.53,37.39,1.86
"Fulton","SS05",657,652,66,1629,1428,87.66,627,581,1716,1209,70.45,"Trump","Handel",50.19,51.9,1.71
"Fulton","SS06",523,465,44,1203,1064,88.45,479,373,1264,852,67.41,"Trump","Handel",52.94,56.22,3.28
"Fulton","SS07A",361,265,29,821,678,82.58,293,231,848,524,61.79,"Trump","Handel",57.67,55.92,-1.75
"Fulton","SS07B",152,180,28,456,370,81.14,112,140,489,252,51.53,"Clinton","Ossoff",45.78,44.44,-1.34
"Fulton","SS07C",234,246,18,686,511,74.49,171,172,708,343,48.45,"Clinton","Ossoff",48.75,49.85,1.1
"Fulton","SS08A",266,502,39,1063,825,77.61,175,335,1181,510,43.18,"Clinton","Ossoff",34.64,34.31,-0.329999999999998
"Fulton","SS08B",210,210,18,566,447,78.98,191,172,617,363,58.83,"Trump","Handel",50,52.62,2.62
"Fulton","SS08C",133,230,21,509,394,77.41,85,180,563,265,47.07,"Clinton","Ossoff",36.64,32.08,-4.56
"Fulton","SS08D",280,431,36,1001,771,77.02,177,306,1131,484,42.79,"Clinton","Ossoff",39.38,36.65,-2.73
"Fulton","SS11A",914,1383,124,3165,2497,78.89,664,906,3455,1570,45.44,"Clinton","Ossoff",39.79,42.29,2.5
"Fulton","SS11B",224,489,42,1009,771,76.41,144,341,1117,485,43.42,"Clinton","Ossoff",31.42,29.69,-1.73
"Fulton","SS11C",33,117,6,222,158,71.17,16,62,235,78,33.19,"Clinton","Ossoff",22,20.51,-1.49
"Fulton","SS12",837,896,110,2290,1896,82.79,743,652,2472,1395,56.43,"Clinton","Handel",48.3,53.26,4.96
"Fulton","SS15A",198,974,71,2011,1271,63.2,112,578,2330,690,29.61,"Clinton","Ossoff",16.89,16.23,-0.66
"Fulton","SS15B",308,608,38,1318,972,73.75,219,433,1489,652,43.79,"Clinton","Ossoff",33.62,33.59,-0.029999999999994
"Fulton","SS16",834,655,75,1886,1618,85.79,808,557,1949,1367,70.14,"Trump","Handel",56.01,59.19,3.18
"Fulton","SS17",1169,1089,84,3028,2421,79.95,1023,802,3265,1826,55.93,"Trump","Handel",51.77,56.05,4.27999999999999
